CNX, VTCC, Chiang Mai, Chiang Mai Intl Airport, Thailand,14393,1666888,7089792,4747887,2341905,5590080,3463116,2126964,1
CEI, VTCT, Chiang Rai, Chiang Rai Intl Airport, Thailand,13510,1204660,2909804,2383306,526498,2549554,2090664,458890,1
QHI, VTBS, Chonburi (Chon Buri), Sattahip Airport, Thailand,28367,1390354,11736488,4520383,7216105,10167469,3097378,7070091,0
HDY, VTSS, Hat Yai  Songkhla, Hat Yai Intl Airport, Thailand,26824,1389890,5763439,3551191,2212248,4802574,2753763,2048811,1
HHQ, VTPH, Hua Hin  Prachuap Khiri Khan, Hua Hin Airport, Thailand,28459,520271,4417025,3500499,916526,2770413,1984043,786370,0
KKC, VTUK, Khon Kaen, Khon Kaen Airport, Thailand,18095,1781655,3593042,3531828,61214,2356736,2316175,40561,1
KBV, VTSG, Krabi, Krabi Airport, Thailand,27276,450890,3761234,1765243,1995991,3275495,1503279,1772216,1
LPT, VTCL, Lampang, Lampang Airport, Thailand,19262,754862,761823,687412,74411,456901,411641,45260,0
LOE, VTUL, Loei, Loei Airport, Thailand,16338,632205,1512855,1480817,32038,829611,810543,19068,0
HGN, VTCH, Mae Hong Son, Mae Hong Son Airport, Thailand,8821,246549,748827,561977,186850,718250,538734,179516,0
MAQ, VTPM, Mae Sot, Mae Sot Airport, Thailand,17020,532353,1653513,1618293,35220,1308642,1289263,19379,0
KOP, VTUW, Nakhon Phanom, Nakhon Phanom Airport, Thailand,14310,710860,873925,801441,72484,397334,388099,9235,0
NAK, VTUQ, Nakhon Ratchasima (Khorat), Nakhon Ratchasima Airport, Thailand,22479,2610164,6804563,6677142,127421,3934041,3842727,91314,0
NST, VTSN, Nakhon Si Thammarat, Cha Ian Airport, Thailand,27479,1541843,2700594,2649303,51291,2026681,1989873,36808,1
NNT, VTCN, Nan, Nan Airport, Thailand,17598,477912,626690,609967,16723,499966,486046,13920,1
NAW, VTSC, Narathiwat, Narathiwat Airport, Thailand,16773,766145,570973,215718,355255,529075,198699,330376,0
PAN, VTSK, Pattani, Pattani Airport, Thailand,20199,678838,235606,233755,1851,212181,210542,1639,0
UTP, VTBU, Pattaya  Rayong, U-Tapao Intl Airport, Thailand,30401,661220,5643533,5169919,473614,3461717,3080952,380765,0
PHS, VTPP, Phitsanulok, Phitsanulok Airport, Thailand,27490,856376,2714770,2521346,193424,1659333,1512976,146357,1
PRH, VTCP, Phrae, Phrae Airport, Thailand,19418,456074,668522,619612,48910,320333,298255,22078,0
HKT, VTSP, Phuket, Phuket Intl Airport, Thailand,31857,369522,11960044,3564123,8395921,11339885,3304904,8034981,1
UNN, VTSR, Ranong, Ranong Airport, Thailand,32292,174776,775471,729986,45485,654223,614940,39283,0
SNO, VTUI, Sakon Nakhon, Sakon Nakhon Airport, Thailand,16854,1134322,1039789,1035033,4756,592830,590058,2772,1
SGZ, VTSH, Songkhla, Songkhla Airport, Thailand,26824,1389890,5763439,3551191,2212248,4802574,2753763,2048811,0
SGZ, VTSH, Songkhla, Songkhla Airport, Thailand,26824,1389890,5763439,3551191,2212248,4802574,2753763,2048811,0
THS, VTPO, Sukhothai, Sukhothai Airport, Thailand,24121,602713,1116585,807413,309172,726553,562060,164493,0
URT, VTSB, Surat Thani, Surat Thani Airport, Thailand,36865,1031812,4465276,1757166,2708110,4190512,1526287,2664225,1
TKT, VTPT, Tak, Tak Airport, Thailand,17020,532353,1653513,1618293,35220,1308642,1289263,19379,0
TST, VTST, Trang, Trang Airport, Thailand,33270,636043,1281663,1115641,166022,1058853,921947,136906,0
UBP, VTUU, Ubon Ratchathani, Ubon Ratchathani Airport, Thailand,22344,1836523,2591426,2471568,119858,1438916,1372493,66423,1
UTH, VTUD, Udon Thani, Udon Thani Airport, Thailand,25966,1563964,3033967,2897571,136396,2127343,2051490,75853,1
UTP, VTUD, Udon Thani, Udon Thani Intl Airport, Thailand,25966,1563964,3033967,2897571,136396,2127343,2051490,75853,0
UTR, VTPU, Uttaradit, Uttaradit Airport, Thailand,21344,460995,756933,750090,6843,531306,528355,2951,0
TDX,’’, Trat,Trat Airport,Thailand,21653,224010,1685537,1281384,404153,1600817,1221857,378960,0
