Op Airlines,Original,Destination,Passenger,Fare,Income Original,Income Destination,Population Original,Population Destination,Date,Flight Frequency,Total Seat,Seat/Dep,Time,AVG KM,Number Of Review,Airlines Score
PG,BKK,CEI,811,125,48842.9433628325,14492.7115044248,5692284,1207699,Mar2014,8,1200,150,640,666,72,8
PG,BKK,UTH,477,116,49191,25966,5686252,1563964,Nov2013,4,552,138,260,451,72,8
PG,CEI,BKK,742,135,14492.7115044248,48842.9433628325,1207699,5692284,Mar2014,8,1200,150,640,666,72,8
PG,UTH,BKK,409,117,25966,49191,1563964,5686252,Nov2013,4,552,138,260,451,72,8
SL,CNX,DMK,26731,73,16686.0495575225,48842.9433628325,1678284,5692284,Apr2014,210,45150,215,15750,565,53,6
SL,KBV,DMK,3588,77,30604.288495576,48842.9433628325,456811,5692284,Oct2014,29,6235,215,2610,666,53,6
SL,HKT,DMK,4137,77,30867.515044248,48842.9433628325,378364,5692284,Oct2014,31,6665,215,2680,689,53,6
SL,HDY,DMK,21564,82,28551.653097346,48842.9433628325,1401303,5692284,Apr2014,168,36120,215,13440,772,53,6
SL,CEI,DMK,11059,69,13497,45572,1277950,5696409,May2015,93,19995,215,7440,666,53,6
SL,UBP,DMK,10937,65,20453,45572,1857429,5696409,Aug2015,88,18920,215,5720,483,53,6
SL,NST,DMK,5727,69,25124,45572,1552530,5696409,Sep2015,60,10140,169,4350,610,53,6
SL,URT,DMK,7337,71,37405.4265486728,48842.9433628325,1040230,5692284,Oct2014,60,12900,215,4075,552,53,6
SL,UTH,DMK,8543,67,23995.8796460181,48842.9433628325,1570300,5692284,Oct2014,78,16770,215,4620,451,53,6
SL,DMK,CNX,27129,73,48842.9433628325,16686.0495575225,5692284,1678284,Apr2014,210,45150,215,15750,565,53,6
SL,DMK,KBV,3866,77,48842.9433628325,30604.288495576,5692284,456811,Oct2014,29,6235,215,2465,666,53,6
SL,DMK,HKT,3837,77,48842.9433628325,30867.515044248,5692284,378364,Oct2014,31,6665,215,2845,689,53,6
SL,DMK,HDY,21169,82,48842.9433628325,28551.653097346,5692284,1401303,Apr2014,168,36120,215,13440,772,53,6
SL,DMK,CEI,11143,69,45572,13497,5696409,1277950,May2015,93,19995,215,7750,666,53,6
SL,DMK,UBP,11768,65,45572,20453,5696409,1857429,Aug2015,88,18920,215,5720,483,53,6
SL,DMK,NST,6289,69,45572,25124,5696409,1552530,Sep2015,60,10140,169,4200,610,53,6
SL,DMK,URT,7187,71,48842.9433628325,37405.4265486728,5692284,1040230,Oct2014,60,12900,215,4345,552,53,6
SL,DMK,UTH,9859,67,48842.9433628325,23995.8796460181,5692284,1570300,Oct2014,78,16770,215,5180,451,53,6
WE,BKK,CNX,5117,75,45572,14950,5696409,1728242,May2015,54,9072,168,3780,565,53,8
WE,BKK,HKT,1031,83,45572,31500,5696409,386605,Mar2015,9,1512,168,720,673,53,8
WE,BKK,UBP,2,92,48842.9433628325,21129.0106194692,5692284,1844669,Oct2014,50,8100,162,3250,476,53,8
WE,BKK,KKC,9831,79,45572,21337,5696409,1798014,May2015,81,13608,168,4455,367,53,8
WE,BKK,UTH,1,91,48842.9433628325,23995.8796460181,5692284,1570300,Oct2014,75,12150,162,4875,451,53,8
WE,CNX,BKK,5855,72,14950,45572,1728242,5696409,May2015,53,8904,168,3710,565,53,8
WE,HKT,BKK,1052,89,31500,45572,386605,5696409,Mar2015,9,1512,168,765,673,53,8
WE,HKT,DMK,1,99,30867.515044248,48842.9433628325,378364,5692284,Oct2014,18,2916,162,1530,689,53,8
WE,KKC,BKK,8682,79,21337,45572,1798014,5696409,May2015,81,13608,168,5265,367,53,8
WE,UTH,BKK,1,91,23995.8796460181,48842.9433628325,1570300,5692284,Oct2014,75,12150,162,4500,451,53,8
WE,DMK,HKT,1,100,48842.9433628325,30867.515044248,5692284,378364,Oct2014,18,2916,162,1440,689,53,8
WE,DMK,KKC,1,85,48842.9433628325,19439.637168142,5692284,1790049,Oct2014,27,4374,162,1485,367,53,8
DD,KBV,DMK,6128,74,30604.288495576,48842.9433628325,456811,5692284,Jan2014,62,11718,189,4960,666,164,7
DD,KKC,DMK,6320,72,19439.637168142,48842.9433628325,1790049,5692284,Jul2014,62,11718,189,3410,367,164,7
DD,DMK,KBV,5487,74,48842.9433628325,30604.288495576,5692284,456811,Jan2014,62,11718,189,4805,666,164,7
DD,DMK,KKC,6314,72,48842.9433628325,19439.637168142,5692284,1790049,Jul2014,62,11718,189,3410,367,164,7
FD,CNX,KBV,2384,75,14393,27276,1666888,450890,Dec2013,17,2856,168,1955,1181,48,5
FD,CNX,URT,4316,62,16686.0495575225,37405.4265486728,1678284,1040230,Nov2014,30,5400,180,3300,1067,48,5
FD,KBV,CNX,2246,75,27276,14393,450890,1666888,Dec2013,17,2856,168,2105,1181,48,5
FD,KKC,DMK,5414,41,18095,49191,1781655,5686252,Nov2013,60,10080,168,3300,367,48,5
FD,PHS,DMK,5479,32,27490,49191,856376,5686252,Dec2013,62,10416,168,3565,320,48,5
FD,DMK,KKC,5333,41,49191,18095,5686252,1781655,Nov2013,60,10080,168,3300,367,48,5
FD,DMK,SNO,5371,90,48842.9433628325,17922.9628318585,5692284,1138609,Oct2014,62,11160,180,4495,521,48,5
FD,DMK,PHS,5631,32,49191,27490,5686252,856376,Dec2013,62,10416,168,3410,320,48,5
FD,DMK,NNT,5688,35,45572,17886,5696409,479518,Feb2015,40,7200,180,2700,541,48,5
